ID,Strain,GenePair
614,A/Shanghai/15/2017,M-PB2
615,A/Shanghai/15/2017,NS-PB1
616,A/Shanghai/15/2017,NS-PB2
617,A/Shanghai/16/2017,M-PB1
618,A/Shanghai/16/2017,M-PB2
619,A/Shanghai/16/2017,NS-PB1
620,A/Shanghai/16/2017,NS-PB2
621,A/Shanghai/16/2017,PB1-PB2
622,A/Shanghai/17/2017,HA-PB2
623,A/Shanghai/17/2017,M-NA
624,A/Shanghai/17/2017,M-NP
625,A/Shanghai/17/2017,M-PA
626,A/Shanghai/17/2017,M-PB1
627,A/Shanghai/17/2017,M-PB2
628,A/Shanghai/17/2017,NA-PB2
629,A/Shanghai/17/2017,NS-PB2
630,A/Shanghai/18/2017,HA-NP
631,A/Shanghai/18/2017,NA-NP
632,A/Shanghai/18/2017,NP-PA
633,A/Shanghai/18/2017,NP-PB1
634,A/Shanghai/18/2017,NP-PB2
635,A/Shanghai/19/2017,HA-NP
636,A/Shanghai/19/2017,NA-NP
637,A/Shanghai/19/2017,NP-PA
638,A/Shanghai/19/2017,NP-PB1
639,A/Shanghai/19/2017,NP-PB2
640,A/Shanghai/19/2017,NS-PB1
641,A/Shanghai/19/2017,NS-PB2
642,A/Shanghai/19/2017,PB1-PB2
643,A/Shanghai/1/2016,NS-PB1
644,A/Shanghai/20/2017,NS-PA
645,A/Shanghai/21/2017,PB1-PB2
646,A/Shanghai/29/2017,HA-PA
647,A/Shanghai/29/2017,HA-PB1
648,A/Shanghai/29/2017,M-PA
649,A/Shanghai/29/2017,M-PB1
650,A/Shanghai/29/2017,M-PB2
651,A/Shanghai/29/2017,NA-NS
652,A/Shanghai/29/2017,NP-PB1
653,A/Shanghai/29/2017,NP-PB2
654,A/Shanghai/29/2017,NS-PA
655,A/Shanghai/29/2017,NS-PB1
656,A/Shanghai/29/2017,NS-PB2
657,A/Shanghai/29/2017,PA-PB1
658,A/Shanghai/29/2017,PA-PB2
659,A/Shanghai/30/2017,HA-M
660,A/Shanghai/30/2017,HA-NP
661,A/Shanghai/30/2017,HA-NS
662,A/Shanghai/30/2017,HA-PA
663,A/Shanghai/30/2017,M-PA
664,A/Shanghai/30/2017,M-PB1
665,A/Shanghai/30/2017,M-PB2
666,A/Shanghai/30/2017,NA-NS
667,A/Shanghai/30/2017,NP-PA
668,A/Shanghai/30/2017,NP-PB1
669,A/Shanghai/30/2017,NP-PB2
670,A/Shanghai/30/2017,NS-PA
671,A/Shanghai/30/2017,NS-PB1
672,A/Shanghai/30/2017,NS-PB2
673,A/Shanghai/30/2017,PA-PB2
674,A/Shanghai/30/2017,PB1-PB2
675,A/Shanghai/31/2017,HA-NA
676,A/Shanghai/31/2017,HA-PA
677,A/Shanghai/31/2017,HA-PB1
678,A/Shanghai/31/2017,HA-PB2
679,A/Shanghai/31/2017,M-PA
680,A/Shanghai/31/2017,M-PB1
681,A/Shanghai/31/2017,NA-NP
682,A/Shanghai/31/2017,NA-NS
